 44.91  -71.06  cd001
 44.00  -70.07  cd002
 43.68  -74.39  cd003
 41.86  -72.64  cd004
 42.22  -78.55  cd005
 40.22  -83.01  cd006
 39.31  -76.03  cd007
 40.95  -77.51  cd008
 38.83  -80.00  cd009
 36.95  -77.69  cd010
 35.92  -82.38  cd011
 34.22  -78.92  cd012
 34.89  -80.74  cd013
 45.50  -87.63  cd014
 47.66  -94.06  cd015
 47.48  -98.75  cd016
 47.24 -102.22  cd017
 46.95 -105.62  cd018
 48.23 -110.29  cd019
 46.24 -109.52  cd020
 46.32 -113.22  cd021
 43.78  -84.91  cd022
 41.64  -84.71  cd023
 40.17  -87.64  cd024
 42.54  -89.10  cd025
 45.01  -90.57  cd026
 44.83  -93.49  cd027
 44.92  -96.70  cd028
 44.47 -100.13  cd029
 44.24 -102.88  cd030
 43.98 -105.27  cd031
 43.96 -109.37  cd032
 42.00  -92.53  cd033
 42.67  -96.43  cd034
 41.48 -100.74  cd035
 40.82  -97.53  cd036
 42.00 -104.00  cd037
 38.35  -84.01  cd038
 37.90  -87.09  cd039
 37.32  -90.08  cd040
 39.73  -90.78  cd041
 39.04  -93.65  cd042
 38.03  -95.79  cd043
 38.60  -98.27  cd044
 38.17 -100.78  cd045
 39.82 -103.44  cd046
 38.10 -103.97  cd047
 39.13 -107.73  cd048
 41.94 -108.26  cd049
 35.31  -86.54  cd050
 34.88  -89.92  cd051
 35.71  -93.89  cd052
 35.52  -97.83  cd053
 34.10  -99.55  cd054
 34.50 -101.64  cd055
 33.63  -83.71  cd056
 33.27  -86.55  cd057
 32.39  -89.74  cd058
 33.30  -92.61  cd059
 31.77  -94.88  cd060
 32.35  -97.47  cd061
 29.38  -97.37  cd062
 27.06  -98.30  cd063
 30.56 -100.08  cd064
 30.82 -103.55  cd065
 31.04  -83.18  cd066
 28.28  -81.68  cd067
 25.71  -80.97  cd068
 30.81  -86.86  cd069
 30.42  -90.71  cd070
 30.37  -93.82  cd071
 48.11 -117.92  cd072
 46.15 -117.23  cd073
 46.50 -120.09  cd074
 47.31 -122.20  cd075
 47.86 -123.32  cd076
 43.15 -112.94  cd077
 44.60 -114.40  cd078
 42.98 -116.54  cd079
 43.23 -120.63  cd080
 44.09 -122.60  cd081
 44.50 -123.74  cd082
 40.50 -110.92  cd083
 38.35 -111.07  cd084
 38.53 -113.40  cd085
 40.50 -115.48  cd086
 40.57 -119.37  cd087
 39.76 -121.60  cd088
 40.46 -123.27  cd089
 38.06 -116.23  cd090
 36.37 -119.83  cd091
 36.42 -121.30  cd092
 33.96 -118.26  cd093
 35.21 -116.55  cd094
 36.01 -114.35  cd095
 33.67 -112.26  cd096
 35.58 -110.69  cd097
 32.27 -110.52  cd098
 36.59 -106.66  cd099
 34.32 -103.82  cd100
 34.00 -106.83  cd101
 32.30 -107.19  cd102
 71.30 -156.78  cd103
 66.87 -162.63  cd104
 64.00 -145.73  cd105
 66.90 -151.52  cd106
 64.82 -147.87  cd107
 62.97 -155.62  cd108
 60.78 -161.80  cd109
 64.50 -165.43  cd110
 55.03 -131.57  cd111
 58.37 -134.58  cd112
 55.35 -131.70  cd113
 57.07 -135.35  cd114
 61.17 -150.02  cd115
 60.57 -151.25  cd116
 62.15 -145.45  cd117
 59.63 -151.50  cd118
 59.75 -154.92  cd119
 51.88 -176.65  cd120
 55.20 -162.73  cd121
 57.15 -170.22  cd122
 57.75 -152.50  cd123
 60.50 -145.50  cd124
 61.13 -146.35  cd125
 59.52 -139.67  cd126
 19.72 -155.07  cd127
 20.90 -156.43  cd128
 21.35 -157.93  cd129
 21.98 -159.35  cd130
