2015   9   3 344   2
  0.71  0.94  1.01  1.13  1.49  1.34  2.21  1.44  0.32  0.81  0.91  0.77
  0.32  0.49  0.88  2.10  2.22  1.45  2.04  1.42  1.18  0.36  0.22  0.62
  0.00  0.00  0.06  0.01  0.03  0.31  0.06  0.26  0.76  0.25  0.18  0.56
  1.89  1.87  1.67  1.84  1.64  2.21  4.61  2.84  3.41  3.67  3.51  2.27
  1.07  1.36  1.64  1.61  1.31  1.13  2.19  2.19  2.59  0.37  0.83  1.02
  0.56  0.19  0.19  0.18  0.36  0.22  0.28  1.65  1.60  0.85  1.57  2.08
  1.76  2.65  1.97  1.48  1.56  0.57  0.93  0.68  0.70  1.06  0.64  0.49
  1.16  1.14  1.71  1.08  1.22  1.35  0.90  2.14  2.86  1.26  0.25  0.83
  1.78  0.49  0.82  2.05  0.70  1.33  1.31  0.61  1.40  1.17  1.37  0.10
  0.79  0.71  1.91  1.84  2.07  2.99  2.90  3.20  2.18  2.05  2.03  2.74
  1.18  1.40  1.63  2.41  2.17  1.76  0.69  2.58  2.52  2.46  2.26  1.68
  2.91  2.35  1.89  2.42  2.74  1.24  1.24  1.81  1.03  1.38  2.50  0.55
  1.25  2.20  0.92  2.47  1.92  0.69  0.33  0.71  0.07  0.61  0.54  1.17
  1.02  1.03  2.43  2.57  1.26  2.20  2.16  1.13  0.69  0.76  0.36  1.18
  0.57  0.26  0.58  0.38  0.09  0.40  0.54  0.68  1.70  0.26  0.57  1.63
  0.01  0.06  0.21  0.05  2.72  2.43  1.87  1.13  0.87  0.51  0.37  0.14
  0.68  0.30  0.40  0.28  0.30  1.66  1.97  1.76  2.85  2.80  1.78  1.24
  2.20  2.06  1.49  1.06  1.18  1.71  0.94  0.87  2.28  3.82  2.76  1.93
  1.21  1.68  1.54  0.78  0.30  0.73  0.42  0.33  1.12  2.99  2.65  1.02
  1.34  2.18  1.43  1.09  0.77  1.42  0.63  1.33  2.01  0.31  1.08  2.40
  0.09  1.08  2.22  0.36  0.39  0.10  0.32  0.16  0.17  0.23  0.57  0.15
  2.03  2.68  2.84  2.03  1.75  1.09  1.21  1.77  1.03  1.38  2.10  1.42
  1.52  0.64  1.93  0.88  1.69  1.83  0.11  0.20  0.22  0.05  0.10  0.39
  0.25  0.38  0.74  1.53  1.69  1.26  1.10  0.39  0.16  0.86  0.77  0.45
  0.30  1.89  5.09  1.15  2.48  0.07  0.43  0.20  0.45  0.20  0.41  0.41
  2.37  1.73  2.95  1.54  2.44  1.29  1.28  1.54  1.27  2.00  0.89  1.15
  1.53  1.80  0.13  0.25  0.23  0.38  0.49  0.77  1.10  1.21  1.46  1.20
  1.29  1.97  2.41  3.28  2.52  3.15  2.92  1.55  1.35  1.81  0.30  0.70
  0.13  0.00  0.12  0.00  0.11  0.03  0.00  0.21
