2015   9   3 344   2
  74.5  75.1  76.0  76.1  76.2  77.5  77.6  78.6  83.1  68.8  76.8  78.1
  84.7  83.6  76.1  75.2  74.6  75.0  76.7  77.4  76.4  77.6  77.4  78.1
  65.5  70.2  62.5  68.9  77.1  75.1  80.4  69.6  63.7  71.5  65.5  62.0
  69.3  70.9  73.0  74.0  75.0  78.3  79.6  81.2  82.4  81.6  82.0  76.8
  73.9  72.6  71.7  76.1  75.4  76.3  77.1  77.4  78.4  58.9  61.7  62.7
  61.2  64.1  63.1  63.0  61.4  61.8  61.2  71.3  71.4  73.8  73.9  71.8
  73.9  73.2  74.1  73.2  70.2  70.4  70.2  71.4  71.3  71.0  74.0  72.4
  72.8  68.8  68.8  69.6  69.7  70.5  71.5  71.7  71.5  73.1  75.0  77.1
  75.0  75.6  78.1  75.6  76.9  78.1  75.7  74.0  73.7  72.8  71.4  79.6
  79.3  79.2  79.1  79.4  78.7  78.3  78.3  78.2  64.8  67.0  65.7  75.1
  75.7  74.2  75.8  75.0  73.2  71.0  68.8  67.4  69.7  69.2  63.5  63.2
  66.8  65.1  67.6  68.3  67.7  69.4  69.1  69.4  63.9  63.1  61.8  67.3
  68.0  67.0  69.0  69.3  68.9  77.2  75.8  75.2  79.3  77.4  77.0  78.4
  78.4  78.3  78.8  73.3  74.2  74.0  74.0  73.3  74.5  58.5  60.1  57.3
  59.3  62.9  61.5  65.2  69.0  71.2  69.4  72.4  72.2  72.8  74.5  73.8
  64.4  63.1  70.4  83.3  64.8  69.3  73.5  73.1  73.4  65.9  66.4  74.6
  71.1  73.7  70.9  76.7  74.8  68.0  69.1  67.5  74.1  69.7  68.1  69.6
  66.6  69.0  69.8  70.3  68.0  74.5  74.6  75.2  76.1  76.1  76.2  61.8
  62.0  63.3  63.8  65.0  64.8  65.1  65.2  65.9  71.3  70.7  70.7  71.6
  71.8  70.6  72.0  71.9  71.6  71.3  78.3  78.9  76.8  80.5  78.8  77.8
  81.3  79.7  77.2  57.8  61.1  62.6  60.6  57.2  61.9  58.4  61.4  62.6
  69.4  71.9  73.2  71.9  71.1  68.3  69.7  69.2  70.7  68.7  71.3  67.7
  73.6  75.9  76.3  75.6  76.9  77.2  67.1  67.6  67.0  66.5  67.9  70.2
  67.7  70.4  69.7  70.6  71.4  73.1  74.4  77.0  80.8  81.5  79.6  78.7
  80.8  81.9  79.9  82.7  82.8  67.7  80.2  69.3  71.2  67.7  65.7  69.4
  66.7  68.5  68.1  75.9  74.8  72.8  72.5  70.5  69.0  57.7  57.6  59.0
  59.0  58.9  61.1  61.2  62.7  58.4  60.8  72.1  70.4  71.7  67.5  69.4
  70.7  65.7  64.8  65.1  68.2  67.7  67.5  69.2  68.8  69.5  58.4  56.5
  61.5  64.5  64.6  66.4  67.3  66.8  65.6  62.2
