2015   8   3 344   2
  2.79  2.55  1.56  2.11  1.36  0.80  1.35  1.16  0.97  1.85  1.10  1.22
  0.13  0.53  1.32  1.02  1.53  2.62  1.09  0.76  1.20  0.01  0.07  0.07
  0.04  0.05  0.19  0.01  0.02  0.01  0.13  1.10  0.79  0.72  0.84  0.98
  1.25  1.28  1.40  1.14  2.10  2.10  5.24  3.88  4.38  2.45  2.92  3.29
  1.18  1.70  2.62  2.45  2.53  2.09  2.54  2.02  2.36  0.12  0.20  0.20
  0.36  0.14  0.27  0.43  0.74  0.70  1.17  0.58  0.96  1.80  0.89  0.69
  1.78  1.75  1.64  1.74  0.79  1.46  1.98  0.55  1.33  1.87  1.56  1.46
  1.71  0.60  0.52  0.18  0.70  2.05  1.36  2.92  1.07  1.83  1.12  2.75
  0.84  1.10  1.74  1.67  1.52  0.96  2.09  1.54  1.45  1.81  1.46  0.01
  0.01  0.62  0.03  0.15  0.55  0.63  0.86  0.99  1.99  1.81  1.52  3.09
  2.82  2.05  0.86  1.45  0.63  0.39  1.13  1.75  1.25  1.87  1.54  0.73
  1.34  1.52  1.00  1.81  3.10  1.57  2.38  1.82  0.95  1.77  1.53  0.84
  1.86  2.25  1.33  0.93  0.54  0.59  2.24  2.55  0.41  0.33  1.09  0.97
  0.55  0.69  1.37  1.78  1.43  2.12  2.67  3.10  2.52  0.23  0.76  0.27
  0.28  0.83  0.58  0.69  0.75  1.48  1.09  1.97  1.85  2.64  2.26  1.27
  0.25  0.55  0.50  0.48  2.29  1.69  1.27  1.29  1.39  1.32  1.41  2.20
  1.07  0.55  0.99  1.33  0.57  1.39  1.48  1.50  1.47  1.66  1.14  1.57
  2.48  1.68  1.31  1.38  2.14  1.92  1.02  0.89  2.62  2.43  2.17  0.28
  0.18  0.05  0.59  0.34  0.38  0.70  2.44  0.48  1.64  1.59  0.67  1.24
  0.98  0.39  0.13  1.80  1.49  0.64  1.89  0.58  0.63  1.70  0.83  0.31
  1.47  0.39  0.14  0.10  0.06  0.03  0.08  0.38  0.03  0.10  0.06  0.06
  1.68  1.74  1.09  0.54  1.17  1.27  1.38  0.62  0.64  0.87  1.74  1.63
  1.91  1.39  2.70  2.38  2.60  3.06  0.91  1.64  1.04  0.53  0.78  0.71
  1.83  1.33  0.52  1.16  1.37  1.31  2.02  1.62  0.70  0.26  0.27  0.28
  0.14  0.31  0.94  0.20  0.00  0.57  0.69  1.23  0.86  1.43  0.84  0.82
  1.52  1.33  1.49  1.79  1.72  1.64  0.71  1.22  1.62  0.39  0.32  0.53
  0.42  0.39  0.05  0.03  0.01  0.06  0.07  0.96  1.10  1.13  1.17  1.65
  0.78  2.06  1.68  1.70  1.92  1.81  1.89  0.15  0.52  1.14  1.31  1.04
  0.58  0.38  0.62  0.71  0.21  0.23  0.39  0.31
